No,Nama Fitur (Atribut),Keterangan / Deskripsi
1,FILENAME,
2,URL,
3,URLLength,
4,Domain,
5,DomainLength,
6,IsDomainIP,
7,TLD,
8,URLSimilarityIndex,
9,CharContinuationRate,
10,TLDLegitimateProb,
11,URLCharProb,
12,TLDLength,
13,NoOfSubDomain,
14,HasObfuscation,
15,NoOfObfuscatedChar,
16,ObfuscationRatio,
17,NoOfLettersInURL,
18,LetterRatioInURL,
19,NoOfDegitsInURL,
20,DegitRatioInURL,
21,NoOfEqualsInURL,
22,NoOfQMarkInURL,
23,NoOfAmpersandInURL,
24,NoOfOtherSpecialCharsInURL,
25,SpacialCharRatioInURL,
26,IsHTTPS,
27,LineOfCode,
28,LargestLineLength,
29,HasTitle,
30,Title,
31,DomainTitleMatchScore,
32,URLTitleMatchScore,
33,HasFavicon,
34,Robots,
35,IsResponsive,
36,NoOfURLRedirect,
37,NoOfSelfRedirect,
38,HasDescription,
39,NoOfPopup,
40,NoOfiFrame,
41,HasExternalFormSubmit,
42,HasSocialNet,
43,HasSubmitButton,
44,HasHiddenFields,
45,HasPasswordField,
46,Bank,
47,Pay,
48,Crypto,
49,HasCopyrightInfo,
50,NoOfImage,
51,NoOfCSS,
52,NoOfJS,
53,NoOfSelfRef,
54,NoOfEmptyRef,
55,NoOfExternalRef,
56,label;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,
